Date,Open,High,Low,Close,Adj Close,Volume,New_Open,Difference,ave_5D,grad_5D,ave_20D,grad_20D
9/7/20,96.262497,96.317497,94.672501,95.752502,94.57132,125642800,95.334999,-0.927498,95.3789992,0.9529998,94.1579998,0.28462485
10/7/20,95.334999,95.980003,94.705002,95.919998,94.736755,90257200,97.264999,1.93,95.5764982,0.197499,94.4453747,0.2873749
13/7/20,97.264999,99.955002,95.2575,95.477501,94.299713,191649200,94.839996,-2.425003,96.5384978,0.9619996,94.4859997,0.040625
14/7/20,94.839996,97.254997,93.877502,97.057503,95.860229,170989200,98.989998,4.150002,96.5984984,0.0600006,94.6163746,0.1303749
15/7/20,98.989998,99.247498,96.489998,97.724998,96.519485,153198000,96.5625,-2.427498,96.9289992,0.3305008,94.9191246,0.30275
16/7/20,96.5625,97.404999,95.904999,96.522499,95.331833,110577600,96.987503,0.425003,96.7595,-0.1694992,95.10562475,0.18650015
17/7/20,96.987503,97.147499,95.839996,96.327499,95.139229,92186800,96.417503,-0.57,97.626001,0.866501,95.2509998,0.14537505
20/7/20,96.417503,98.5,96.0625,98.357498,97.144188,90318000,99.172501,2.754998,97.1665008,-0.4595002,95.7971248,0.546125
21/7/20,99.172501,99.25,96.7425,97,95.803436,103433200,96.692497,-2.480004,97.2535004,0.0869996,96.58212465,0.78499985
22/7/20,96.692497,97.974998,96.602501,97.272499,96.072586,89001600,96.997498,0.305001,96.0535004,-1.2,97.3461246,0.76399995
23/7/20,96.997498,97.077499,92.010002,92.845001,91.699692,197004400,90.987503,-6.009995,95.5119996,-0.5415008,98.1059997,0.7598751
24/7/20,90.987503,92.970001,89.144997,92.614998,91.472534,185438800,93.709999,2.722496,94.5509994,-0.9610002,98.8131248,0.7071251
27/7/20,93.709999,94.904999,93.480003,94.809998,93.640442,121214000,94.3675,0.657501,93.9625,-0.5884994,99.70662495,0.89350015
28/7/20,94.3675,94.550003,93.247498,93.252502,92.102173,103625600,93.75,-0.6175,93.4005004,-0.5619996,100.4733749,0.76674995
29/7/20,93.75,95.230003,93.712502,95.040001,93.867615,90329200,94.1875,0.4375,95.7800002,2.3794998,101.3298752,0.8565003
30/7/20,94.1875,96.297501,93.767502,96.190002,95.003433,158130000,102.885002,8.697502,98.6779998,2.8979996,101.9052502,0.575375
31/7/20,102.885002,106.415001,100.824997,106.260002,104.949219,374336800,108.199997,5.314995,101.6309998,2.953,102.7986252,0.893375
